Duration (in seconds),Brand Name,So1,So2,So3,So4,So5,So6,So7,So8,So9,So10,So11,So12,So13,So14,So15,So16,So17,Se1,Se2,Se3,Se4,Se5,Se6,Se7,Se8,Se9,Se10,Se11,Se12,Se13,Se14,Se15,Se16,Se17,BSC1,BSC2,BSC3,P1,P2,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,SC1,SC2,SC3,SC4,SC5,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,MVS1,MVS2,MVS3,MVC1,MVC2,MVC3,MVH1,MVH2,MVH3,GA1,GA2,Ethnicity,Income,Social Status,Attention_1,Gender,Age,Sex
213,PORSCHE,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Asian,less than $30k,10,1,1,26,F
261,VERSACE,9,7,7,8,8,8,7,8,6,8,9,8,7,9,7,6,7,2,7,8,8,8,7,7,7,8,8,7,8,7,7,8,8,7,7,6,6,6,7,8,4,8,8,3,2,8,5,3,7,8,8,8,3,8,8,7,8,8,7,3,8,7,8,6,8,7,3,6,6,6,7,7,6,7,African American,More than $150k,3,4,0,20,M
382,SUPREME,9,6,6,7,9,9,9,9,5,6,9,6,9,8,9,9,4,1,7,7,6,9,9,9,9,8,8,6,7,9,4,4,5,4,9,9,9,9,9,4,4,6,5,4,1,5,7,1,5,4,7,7,5,7,9,6,7,6,8,6,4,7,4,4,5,6,5,6,5,7,7,6,7,5,Prefer not to tell,"$100k-149,999",7,3,0,21,M
367,UNIVERSAL AUDIO,2,2,6,3,2,4,2,2,7,1,2,2,2,7,5,7,2,9,9,9,9,8,9,9,5,5,9,9,9,9,9,9,9,9,8,7,4,3,3,7,6,7,5,4,8,7,3,6,8,1,2,1,3,1,6,1,5,1,6,2,1,7,1,2,2,6,2,4,2,4,8,7,3,5,White/Caucasian,less than $30k,7,4,0,20,M
417,GUCCI,7,7,7,7,7,6,5,3,7,3,3,7,3,7,6,4,4,3,6,3,6,6,7,3,4,3,7,8,6,7,3,4,7,5,5,5,5,5,5,9,9,9,9,4,5,5,5,5,7,7,7,7,5,5,7,7,7,7,7,7,4,7,7,5,5,5,3,7,7,7,7,6,8,4,Asian,"$100k-149,999",5,5,1,21,F
472,BALENCIAGA,4,4,3,3,7,1,6,4,6,6,7,6,6,6,7,7,6,1,7,3,6,3,8,4,4,3,8,7,8,6,2,8,6,5,3,5,5,5,5,9,4,9,9,1,6,9,1,1,9,6,6,7,5,1,7,4,6,7,6,1,3,6,6,1,6,3,5,6,6,6,6,7,6,5,White/Caucasian,"$100k-149,999",4,3,1,20,F
427,MASERATI,8,7,6,6,9,6,6,5,9,8,9,9,9,9,6,9,6,2,9,6,7,8,7,5,7,9,9,9,9,8,6,7,9,8,6,4,2,4,3,5,5,6,4,2,3,7,2,1,6,1,2,2,8,1,6,2,6,3,6,7,4,7,2,1,5,4,6,3,2,3,3,6,6,4,White/Caucasian,less than $30k,9,4,0,24,M
475,Gucci,7,7,6,5,5,5,3,7,7,6,6,6,6,3,7,7,3,2,3,7,5,5,7,4,3,5,4,5,5,5,6,3,4,5,3,3,3,3,3,2,7,2,2,8,8,4,9,8,1,5,5,5,5,5,4,7,7,7,6,7,4,3,3,8,5,6,7,5,4,5,5,4,5,6,White/Caucasian,More than $150k,5,4,0,20,M
618,MASERATI,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,9,7,1,2,1,1,1,2,1,2,9,9,1,8,9,9,8,1,1,1,1,1,8,3,7,6,2,6,5,4,2,7,1,2,6,8,1,8,2,1,3,9,1,1,6,5,1,2,1,7,2,1,4,2,1,1,5,White/Caucasian,less than $30k,7,4,1,20,F
180,CHANEL,6,4,7,7,7,6,6,6,7,7,6,6,5,7,8,7,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,8,8,6,8,8,3,7,7,9,8,9,7,8,7,3,7,8,7,7,8,7,7,8,8,7,9,7,8,8,9,9,9,9,9,9,9,Asian,More than $150k,3,4,1,20,F
228,Maserati,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,7,6,6,7,7,7,6,7,6,6,7,7,6,6,7,7,7,3,3,4,3,4,8,2,7,7,8,3,8,3,2,8,4,4,4,4,4,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,White/Caucasian,less than $30k,3,4,0,21,M
345,BUCELLATI,6,1,2,5,1,2,5,3,6,3,6,5,6,1,6,7,4,4,9,9,6,6,9,6,6,6,9,8,9,6,9,8,7,7,2,7,7,3,4,7,5,6,6,6,4,7,4,3,6,1,3,2,9,1,6,2,1,3,6,6,1,3,2,2,6,3,6,5,3,3,6,8,4,5,Asian,less than $30k,5,5,1,21,F
392,PORSCHE,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,3,1,8,7,1,1,1,2,1,1,1,9,9,9,1,8,9,9,7,1,1,1,1,1,9,1,7,8,1,1,9,2,1,9,1,1,1,9,1,6,1,1,1,2,6,1,3,1,1,1,1,8,2,1,1,1,1,1,3,White/Caucasian,More than $150k,2,4,0,19,M
360,GUCCI,6,4,5,5,5,5,5,5,6,4,5,5,6,6,4,5,5,4,5,4,6,4,5,5,4,4,5,5,6,6,5,5,6,6,4,4,4,4,4,7,4,7,6,4,3,7,3,3,6,5,5,6,4,5,4,5,4,4,5,4,5,4,4,7,5,5,6,6,5,5,6,5,6,5,White/Caucasian,"$100k-149,999",6,4,0,22,M
451,CHANEL,5,1,9,2,1,1,1,1,9,1,1,1,6,6,6,9,1,3,9,1,5,9,5,1,5,1,9,9,9,9,2,9,1,9,5,2,2,5,2,5,9,9,9,5,9,9,5,1,3,1,1,6,5,1,9,5,5,5,9,1,1,5,5,1,9,1,2,6,4,6,9,9,5,9,White/Caucasian,less than $30k,5,5,1,22,F
257,MCLAREN,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,9,9,2,6,7,4,9,6,9,9,9,5,9,9,9,9,1,1,1,1,1,8,2,8,9,2,2,9,7,2,9,1,1,1,9,1,3,1,1,1,1,5,1,1,1,1,2,1,9,1,1,6,2,2,1,5,White/Caucasian,More than $150k,8,4,0,22,M
304,MERCEDES,7,6,6,7,8,7,6,6,7,7,6,6,6,7,6,7,6,1,8,6,5,7,8,6,6,5,7,7,8,7,6,6,5,5,6,7,7,7,7,8,2,8,8,2,3,8,3,3,8,7,7,7,3,7,6,5,6,6,7,4,5,6,5,7,7,7,4,8,8,8,8,7,7,6,White/Caucasian,"$100k-149,999",3,4,1,20,F
